--- AR Telemetry Log Started at 2026-04-30T09:31:16.340Z ---
2026-04-30T09:31:38.325Z | 09:31:29.938 | phase1 | P1:stabilizer:large-jump | {"frame":2,"posDelta":"16.8933","rotDelta":"129.61","corners":["bottom-left"],"avgPos":"(4.307, -2.408, -17.687)"} | 2888ms from boot
2026-04-30T09:31:38.325Z | 09:31:29.971 | phase1 | P1:stabilizer:large-jump | {"frame":3,"posDelta":"15.7269","rotDelta":"119.76","corners":["bottom-left"],"avgPos":"(4.175, -2.554, -17.890)"} | 2921ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.006 | phase1 | P1:stabilizer:large-jump | {"frame":4,"posDelta":"14.4864","rotDelta":"110.51","corners":["bottom-left"],"avgPos":"(4.169, -2.570, -17.907)"} | 2956ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.064 | phase1 | P1:stabilizer:large-jump | {"frame":5,"posDelta":"13.3348","rotDelta":"101.88","corners":["bottom-left"],"avgPos":"(4.167, -2.577, -17.914)"} | 3014ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.105 | phase1 | P1:stabilizer:large-jump | {"frame":6,"posDelta":"12.2754","rotDelta":"93.95","corners":["bottom-left"],"avgPos":"(4.166, -2.584, -17.921)"} | 3055ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.155 | phase1 | P1:stabilizer:large-jump | {"frame":7,"posDelta":"11.2952","rotDelta":"86.49","corners":["bottom-left"],"avgPos":"(4.166, -2.586, -17.923)"} | 3105ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.189 | phase1 | P1:stabilizer:large-jump | {"frame":8,"posDelta":"9.2774","rotDelta":"77.01","corners":["bottom-left"],"avgPos":"(2.255, -2.619, -17.043)"} | 3138ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.205 | phase1 | P1:stabilizer:large-jump | {"frame":9,"posDelta":"8.5257","rotDelta":"69.89","corners":["bottom-left"],"avgPos":"(2.267, -2.570, -17.040)"} | 3155ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.225 | phase1 | P1:stabilizer:large-jump | {"frame":10,"posDelta":"7.8429","rotDelta":"63.96","corners":["bottom-left"],"avgPos":"(2.277, -2.553, -17.042)"} | 3175ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.259 | phase1 | P1:stabilizer:large-jump | {"frame":11,"posDelta":"7.2152","rotDelta":"58.57","corners":["bottom-left"],"avgPos":"(2.284, -2.538, -17.044)"} | 3209ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.285 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 3235ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.289 | phase1 | P1:stabilizer:large-jump | {"frame":12,"posDelta":"6.6379","rotDelta":"53.35","corners":["bottom-left"],"avgPos":"(2.300, -2.511, -17.047)"} | 3239ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.321 | phase1 | P1:stabilizer:large-jump | {"frame":13,"posDelta":"6.1069","rotDelta":"48.98","corners":["bottom-left"],"avgPos":"(2.303, -2.505, -17.048)"} | 3271ms from boot
2026-04-30T09:31:38.325Z | 09:31:30.355 | phase1 | P1:stabilizer:large-jump | {"frame":14,"posDelta":"5.6185","rotDelta":"44.90","corners":["bottom-left"],"avgPos":"(2.307, -2.496, -17.049)"} | 3305ms from boot
